,dt,dt_iso,temp,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,rain_1h,clouds_all,weather_description,Data,Hora,Normal (kWh),Horário Económico (kWh),Autoconsumo (kWh),Injeção na rede (kWh),Inj_code
990,1636437600,2021-11-09 06:00:00 +0000 UTC,10.11,9.6,9.72,13.34,1019,93,2.01,0.895706,11,few clouds,2021-11-09,6,0.0,0.297,0.0,None,3
1006,1636495200,2021-11-09 22:00:00 +0000 UTC,12.33,12.02,9.72,16.22,1018,92,1.73,0.895706,0,sky is clear,2021-11-09,22,0.0,0.759,0.0,None,3
1007,1636498800,2021-11-09 23:00:00 +0000 UTC,12.89,12.64,11.45,15.67,1018,92,1.64,0.895706,0,sky is clear,2021-11-09,23,0.0,0.411,0.0,None,3
1008,1636502400,2021-11-10 00:00:00 +0000 UTC,12.09,11.78,11.72,13.9,1018,93,1.53,0.895706,0,sky is clear,2021-11-10,0,0.0,0.369,0.0,None,3
1009,1636506000,2021-11-10 01:00:00 +0000 UTC,12.6,12.32,12.23,12.72,1017,92,1.54,0.895706,0,sky is clear,2021-11-10,1,0.0,0.317,0.0,None,3
1010,1636509600,2021-11-10 02:00:00 +0000 UTC,10.88,10.45,10.72,13.34,1017,93,1.67,0.895706,0,sky is clear,2021-11-10,2,0.0,0.292,0.0,None,3
1011,1636513200,2021-11-10 03:00:00 +0000 UTC,10.7,10.28,10.66,13.34,1017,94,1.93,0.895706,0,sky is clear,2021-11-10,3,0.0,0.262,0.0,None,3
1012,1636516800,2021-11-10 04:00:00 +0000 UTC,8.8,7.69,8.09,12.79,1017,94,2.12,0.895706,0,sky is clear,2021-11-10,4,0.0,0.263,0.0,None,3
1013,1636520400,2021-11-10 05:00:00 +0000 UTC,12.24,11.9,11.21,12.79,1017,91,2.25,0.895706,17,few clouds,2021-11-10,5,0.0,0.281,0.0,None,3
1014,1636524000,2021-11-10 06:00:00 +0000 UTC,12.24,11.87,11.21,12.72,1018,90,2.24,0.895706,19,few clouds,2021-11-10,6,0.0,0.256,0.0,None,3
1030,1636581600,2021-11-10 22:00:00 +0000 UTC,13.99,13.53,12.01,14.04,1019,80,1.49,0.895706,72,broken clouds,2021-11-10,22,0.0,1.018,0.0,None,3
1031,1636585200,2021-11-10 23:00:00 +0000 UTC,13.81,13.26,10.72,14.04,1019,77,1.61,0.895706,80,broken clouds,2021-11-10,23,0.0,0.686,0.0,None,3
1032,1636588800,2021-11-11 00:00:00 +0000 UTC,13.79,13.31,10.72,14.04,1019,80,1.45,0.895706,85,overcast clouds,2021-11-11,0,0.0,0.566,0.0,None,3
1033,1636592400,2021-11-11 01:00:00 +0000 UTC,13.81,13.26,10.34,14.04,1019,77,1.22,0.895706,77,broken clouds,2021-11-11,1,0.0,0.547,0.0,None,3
1034,1636596000,2021-11-11 02:00:00 +0000 UTC,13.22,12.58,9.72,13.48,1019,76,1.24,0.895706,85,overcast clouds,2021-11-11,2,0.0,0.515,0.0,None,3
1035,1636599600,2021-11-11 03:00:00 +0000 UTC,12.78,12.18,9.23,12.93,1019,79,1.42,0.895706,81,broken clouds,2021-11-11,3,0.0,0.465,0.0,None,3
1036,1636603200,2021-11-11 04:00:00 +0000 UTC,12.29,11.69,8.68,12.37,1019,81,1.76,0.895706,72,broken clouds,2021-11-11,4,0.0,0.461,0.0,None,3
1037,1636606800,2021-11-11 05:00:00 +0000 UTC,11.82,11.2,8.72,11.82,1019,82,1.94,0.895706,82,broken clouds,2021-11-11,5,0.0,0.448,0.0,None,3
1038,1636610400,2021-11-11 06:00:00 +0000 UTC,12.37,11.78,7.72,12.37,1019,81,2.0,0.895706,97,overcast clouds,2021-11-11,6,0.0,0.442,0.0,None,3
1054,1636668000,2021-11-11 22:00:00 +0000 UTC,11.76,11.39,9.72,11.82,1020,92,1.94,0.895706,64,broken clouds,2021-11-11,22,0.0,0.581,0.0,None,3
1055,1636671600,2021-11-11 23:00:00 +0000 UTC,11.73,11.39,8.72,11.82,1020,93,1.77,0.895706,71,broken clouds,2021-11-11,23,0.0,0.587,0.0,None,3
1056,1636675200,2021-11-12 00:00:00 +0000 UTC,11.77,11.43,9.72,11.82,1020,93,1.2,0.895706,66,broken clouds,2021-11-12,0,0.0,0.578,0.0,None,3
1057,1636678800,2021-11-12 01:00:00 +0000 UTC,11.17,10.77,8.72,11.26,1020,93,1.52,0.895706,45,scattered clouds,2021-11-12,1,0.0,0.556,0.0,None,3
1058,1636682400,2021-11-12 02:00:00 +0000 UTC,11.25,10.86,8.72,11.26,1020,93,1.56,0.895706,1,sky is clear,2021-11-12,2,0.0,0.517,0.0,None,3
1059,1636686000,2021-11-12 03:00:00 +0000 UTC,11.71,11.36,8.72,11.82,1019,93,1.65,0.895706,0,sky is clear,2021-11-12,3,0.0,0.539,0.0,None,3
1060,1636689600,2021-11-12 04:00:00 +0000 UTC,11.17,10.77,8.72,11.26,1019,93,1.64,0.895706,0,sky is clear,2021-11-12,4,0.0,0.484,0.0,None,3
1061,1636693200,2021-11-12 05:00:00 +0000 UTC,11.17,10.72,8.34,11.26,1019,91,1.77,0.895706,1,sky is clear,2021-11-12,5,0.0,0.528,0.0,None,3
1062,1636696800,2021-11-12 06:00:00 +0000 UTC,10.6,10.04,7.72,10.7,1019,89,1.35,0.895706,2,sky is clear,2021-11-12,6,0.0,0.502,0.0,None,3
1078,1636754400,2021-11-12 22:00:00 +0000 UTC,11.12,10.66,10.34,12.33,1019,91,1.99,0.895706,0,sky is clear,2021-11-12,22,0.0,0.557,0.0,None,3
1079,1636758000,2021-11-12 23:00:00 +0000 UTC,10.34,9.78,9.23,11.78,1019,90,2.01,0.895706,0,sky is clear,2021-11-12,23,0.0,0.449,0.0,None,3
1080,1636761600,2021-11-13 00:00:00 +0000 UTC,9.21,8.34,8.72,11.22,1019,89,1.92,0.895706,0,sky is clear,2021-11-13,0,0.0,0.34,0.0,None,3
1081,1636765200,2021-11-13 01:00:00 +0000 UTC,8.48,7.55,7.72,11.68,1020,89,1.86,0.895706,0,sky is clear,2021-11-13,1,0.0,0.356,0.0,None,3
1082,1636768800,2021-11-13 02:00:00 +0000 UTC,8.3,7.22,7.72,12.23,1019,90,1.99,0.895706,0,sky is clear,2021-11-13,2,0.0,0.457,0.0,None,3
1083,1636772400,2021-11-13 03:00:00 +0000 UTC,8.92,7.76,6.72,10.01,1019,91,2.21,0.895706,4,sky is clear,2021-11-13,3,0.0,0.379,0.0,None,3
1084,1636776000,2021-11-13 04:00:00 +0000 UTC,8.71,7.41,6.72,10.57,1019,92,2.35,0.895706,2,sky is clear,2021-11-13,4,0.0,0.347,0.0,None,3
1085,1636779600,2021-11-13 05:00:00 +0000 UTC,8.5,7.11,7.72,10.57,1019,94,2.41,0.895706,17,few clouds,2021-11-13,5,0.0,0.337,0.0,None,3
1086,1636783200,2021-11-13 06:00:00 +0000 UTC,8.35,6.94,6.72,10.57,1019,95,2.41,0.895706,17,few clouds,2021-11-13,6,0.0,0.292,0.0,None,3
1102,1636840800,2021-11-13 22:00:00 +0000 UTC,11.41,11.03,9.72,13.9,1020,93,1.98,0.895706,28,scattered clouds,2021-11-13,22,0.0,0.559,0.0,None,3
1103,1636844400,2021-11-13 23:00:00 +0000 UTC,10.81,10.37,9.72,14.0,1020,93,1.9,0.895706,50,scattered clouds,2021-11-13,23,0.0,0.411,0.0,None,3
1104,1636848000,2021-11-14 00:00:00 +0000 UTC,10.14,9.59,8.72,14.0,1020,91,1.9,0.895706,36,scattered clouds,2021-11-14,0,0.0,0.488,0.0,None,3
1105,1636851600,2021-11-14 01:00:00 +0000 UTC,10.72,10.2,9.72,13.34,1020,90,2.25,0.895706,13,few clouds,2021-11-14,1,0.0,0.461,0.0,None,3
1106,1636855200,2021-11-14 02:00:00 +0000 UTC,13.91,13.26,9.72,14.04,1019,73,2.65,0.895706,5,sky is clear,2021-11-14,2,0.0,0.333,0.0,None,3
1107,1636858800,2021-11-14 03:00:00 +0000 UTC,9.86,8.35,8.72,12.79,1020,92,2.99,0.895706,17,few clouds,2021-11-14,3,0.0,0.317,0.0,None,3
1108,1636862400,2021-11-14 04:00:00 +0000 UTC,9.86,8.34,8.72,12.32,1020,91,3.0,0.895706,17,few clouds,2021-11-14,4,0.0,0.315,0.0,None,3
1109,1636866000,2021-11-14 05:00:00 +0000 UTC,12.81,12.08,8.72,12.93,1019,74,3.06,0.895706,18,few clouds,2021-11-14,5,0.0,0.326,0.0,None,3
1110,1636869600,2021-11-14 06:00:00 +0000 UTC,9.0,7.27,7.72,12.23,1020,91,3.07,0.895706,0,sky is clear,2021-11-14,6,0.0,0.323,0.0,None,3
1126,1636927200,2021-11-14 22:00:00 +0000 UTC,13.67,13.0,8.72,14.04,1021,73,2.32,0.895706,0,sky is clear,2021-11-14,22,0.0,0.665,0.0,None,3
1127,1636930800,2021-11-14 23:00:00 +0000 UTC,12.66,11.97,8.72,12.93,1021,76,2.35,0.895706,0,sky is clear,2021-11-14,23,0.0,0.491,0.0,None,3
1128,1636934400,2021-11-15 00:00:00 +0000 UTC,8.03,6.76,7.72,10.57,1020,88,2.16,0.895706,0,sky is clear,2021-11-15,0,0.0,0.398,0.0,None,3
1129,1636938000,2021-11-15 01:00:00 +0000 UTC,7.08,5.66,6.72,10.01,1021,88,2.14,0.895706,0,sky is clear,2021-11-15,1,0.0,0.249,0.0,None,3
1130,1636941600,2021-11-15 02:00:00 +0000 UTC,5.17,3.37,4.72,9.23,1020,87,2.2,0.895706,0,sky is clear,2021-11-15,2,0.0,0.279,0.0,None,3
1131,1636945200,2021-11-15 03:00:00 +0000 UTC,7.78,6.41,5.72,9.23,1020,86,2.23,0.895706,0,sky is clear,2021-11-15,3,0.0,0.3,0.0,None,3
1132,1636948800,2021-11-15 04:00:00 +0000 UTC,7.51,6.12,4.72,9.23,1020,88,2.19,0.895706,0,sky is clear,2021-11-15,4,0.0,0.239,0.0,None,3
1133,1636952400,2021-11-15 05:00:00 +0000 UTC,10.42,9.21,4.72,10.7,1020,65,2.26,0.895706,0,sky is clear,2021-11-15,5,0.0,0.25,0.0,None,3
1134,1636956000,2021-11-15 06:00:00 +0000 UTC,7.06,5.4,6.45,9.23,1020,89,2.43,0.895706,2,sky is clear,2021-11-15,6,0.0,0.294,0.0,None,3
1150,1637013600,2021-11-15 22:00:00 +0000 UTC,13.31,12.55,10.34,13.48,1021,71,2.24,0.895706,96,overcast clouds,2021-11-15,22,0.0,0.369,0.0,None,3
1151,1637017200,2021-11-15 23:00:00 +0000 UTC,13.25,12.46,9.72,13.48,1021,70,2.08,0.895706,97,overcast clouds,2021-11-15,23,0.0,0.369,0.0,None,3
1152,1637020800,2021-11-16 00:00:00 +0000 UTC,13.25,12.41,9.72,13.48,1021,68,2.21,0.895706,97,overcast clouds,2021-11-16,0,0.0,0.304,0.0,None,3
1153,1637024400,2021-11-16 01:00:00 +0000 UTC,12.79,11.9,10.34,12.93,1021,68,2.43,0.895706,100,overcast clouds,2021-11-16,1,0.0,0.281,0.0,None,3
1154,1637028000,2021-11-16 02:00:00 +0000 UTC,11.68,10.76,8.72,12.23,1021,71,2.49,0.895706,92,overcast clouds,2021-11-16,2,0.0,0.255,0.0,None,3
1155,1637031600,2021-11-16 03:00:00 +0000 UTC,12.15,11.25,8.72,12.37,1021,70,2.48,0.895706,86,overcast clouds,2021-11-16,3,0.0,0.266,0.0,None,3
1156,1637035200,2021-11-16 04:00:00 +0000 UTC,11.78,10.89,10.34,11.82,1021,72,2.45,0.895706,35,scattered clouds,2021-11-16,4,0.0,0.29,0.0,None,3
1157,1637038800,2021-11-16 05:00:00 +0000 UTC,11.7,10.83,9.54,11.82,1021,73,2.46,0.895706,67,broken clouds,2021-11-16,5,0.0,0.278,0.0,None,3
1158,1637042400,2021-11-16 06:00:00 +0000 UTC,11.18,10.31,9.54,11.26,1021,75,2.48,0.895706,66,broken clouds,2021-11-16,6,0.0,0.298,0.0,None,3
1174,1637100000,2021-11-16 22:00:00 +0000 UTC,12.33,11.45,11.21,12.37,1021,70,2.07,0.895706,82,broken clouds,2021-11-16,22,0.0,0.558,0.0,None,3
1175,1637103600,2021-11-16 23:00:00 +0000 UTC,11.74,10.88,10.34,12.33,1021,73,1.98,0.895706,86,overcast clouds,2021-11-16,23,0.0,0.261,0.0,None,3
1176,1637107200,2021-11-17 00:00:00 +0000 UTC,12.15,11.27,8.72,12.37,1021,71,2.02,0.895706,87,overcast clouds,2021-11-17,0,0.0,0.255,0.0,None,3
1177,1637110800,2021-11-17 01:00:00 +0000 UTC,10.2,9.52,9.23,11.68,1022,86,2.4,0.895706,88,overcast clouds,2021-11-17,1,0.0,0.323,0.0,None,3
1178,1637114400,2021-11-17 02:00:00 +0000 UTC,11.61,10.63,7.72,11.82,1022,69,2.62,0.895706,80,broken clouds,2021-11-17,2,0.0,0.241,0.0,None,3
1179,1637118000,2021-11-17 03:00:00 +0000 UTC,11.73,10.73,9.23,11.82,1021,68,2.64,0.895706,64,broken clouds,2021-11-17,3,0.0,0.315,0.0,None,3
1180,1637121600,2021-11-17 04:00:00 +0000 UTC,11.13,10.1,8.68,11.26,1022,69,2.44,0.895706,61,broken clouds,2021-11-17,4,0.0,0.282,0.0,None,3
1181,1637125200,2021-11-17 05:00:00 +0000 UTC,11.71,10.71,8.68,11.82,1022,68,2.28,0.895706,52,broken clouds,2021-11-17,5,0.0,0.27,0.0,None,3
1182,1637128800,2021-11-17 06:00:00 +0000 UTC,11.51,10.49,8.12,11.82,1022,68,2.25,0.895706,36,scattered clouds,2021-11-17,6,0.0,0.274,0.0,None,3
1198,1637186400,2021-11-17 22:00:00 +0000 UTC,12.35,11.34,11.72,13.44,1024,65,2.25,0.895706,0,sky is clear,2021-11-17,22,0.0,1.079,0.0,None,3
1199,1637190000,2021-11-17 23:00:00 +0000 UTC,12.35,11.29,11.72,12.37,1025,63,2.44,0.895706,0,sky is clear,2021-11-17,23,0.0,0.389,0.0,None,3
1200,1637193600,2021-11-18 00:00:00 +0000 UTC,11.81,10.74,11.12,12.33,1025,65,2.76,0.895706,32,scattered clouds,2021-11-18,0,0.0,0.341,0.0,None,3
1201,1637197200,2021-11-18 01:00:00 +0000 UTC,11.26,10.16,10.66,11.72,1025,66,3.05,0.895706,13,few clouds,2021-11-18,1,0.0,0.316,0.0,None,3
1202,1637200800,2021-11-18 02:00:00 +0000 UTC,11.24,10.12,10.66,11.26,1025,65,3.36,0.895706,0,sky is clear,2021-11-18,2,0.0,0.257,0.0,None,3
1203,1637204400,2021-11-18 03:00:00 +0000 UTC,10.7,9.52,10.57,10.72,1025,65,3.76,0.895706,0,sky is clear,2021-11-18,3,0.0,0.304,0.0,None,3
1204,1637208000,2021-11-18 04:00:00 +0000 UTC,9.92,8.03,6.45,10.57,1024,72,3.72,0.895706,0,sky is clear,2021-11-18,4,0.0,0.308,0.0,None,3
1205,1637211600,2021-11-18 05:00:00 +0000 UTC,10.49,9.45,7.01,10.72,1024,71,3.51,0.895706,0,sky is clear,2021-11-18,5,0.0,0.29,0.0,None,3
1206,1637215200,2021-11-18 06:00:00 +0000 UTC,9.38,7.58,6.45,11.12,1024,71,3.32,0.895706,0,sky is clear,2021-11-18,6,0.0,1.905,0.0,None,3
1222,1637272800,2021-11-18 22:00:00 +0000 UTC,11.38,10.27,9.72,13.44,1024,65,3.29,0.895706,0,sky is clear,2021-11-18,22,0.0,0.769,0.0,None,3
1223,1637276400,2021-11-18 23:00:00 +0000 UTC,10.87,9.76,8.72,13.44,1024,67,3.36,0.895706,0,sky is clear,2021-11-18,23,0.0,1.118,0.0,None,3
1224,1637280000,2021-11-19 00:00:00 +0000 UTC,12.35,11.39,9.79,13.44,1024,67,3.28,0.895706,0,sky is clear,2021-11-19,0,0.0,1.716,0.0,None,3
1225,1637283600,2021-11-19 01:00:00 +0000 UTC,11.03,9.99,9.72,12.88,1024,69,3.36,0.895706,0,sky is clear,2021-11-19,1,0.0,1.601,0.0,None,3
1226,1637287200,2021-11-19 02:00:00 +0000 UTC,11.4,10.4,9.23,12.32,1024,69,3.33,0.895706,0,sky is clear,2021-11-19,2,0.0,1.35,0.0,None,3
1227,1637290800,2021-11-19 03:00:00 +0000 UTC,9.68,7.9,7.72,12.32,1023,70,3.4,0.895706,0,sky is clear,2021-11-19,3,0.0,0.377,0.0,None,3
1228,1637294400,2021-11-19 04:00:00 +0000 UTC,8.88,6.9,6.72,11.77,1023,71,3.47,0.895706,0,sky is clear,2021-11-19,4,0.0,0.409,0.0,None,3
1229,1637298000,2021-11-19 05:00:00 +0000 UTC,10.39,9.29,9.23,11.68,1023,69,3.52,0.895706,0,sky is clear,2021-11-19,5,0.0,0.37,0.0,None,3
1230,1637301600,2021-11-19 06:00:00 +0000 UTC,10.93,9.91,9.23,11.21,1023,70,3.48,0.895706,0,sky is clear,2021-11-19,6,0.0,0.382,0.0,None,3
1246,1637359200,2021-11-19 22:00:00 +0000 UTC,15.48,14.75,12.01,15.72,1021,64,3.1,0.895706,43,scattered clouds,2021-11-19,22,0.0,0.807,0.0,None,3
1247,1637362800,2021-11-19 23:00:00 +0000 UTC,15.26,14.54,11.45,15.72,1020,65,3.18,0.895706,17,few clouds,2021-11-19,23,0.0,0.405,0.0,None,3
1248,1637366400,2021-11-20 00:00:00 +0000 UTC,14.69,13.91,10.9,15.11,1020,65,3.34,0.895706,13,few clouds,2021-11-20,0,0.0,0.473,0.0,None,3
1249,1637370000,2021-11-20 01:00:00 +0000 UTC,15.21,14.51,12.01,15.72,1020,66,3.35,0.895706,49,scattered clouds,2021-11-20,1,0.0,0.289,0.0,None,3
1250,1637373600,2021-11-20 02:00:00 +0000 UTC,14.64,13.94,11.45,14.72,1020,68,3.42,0.895706,49,scattered clouds,2021-11-20,2,0.0,0.294,0.0,None,3
1251,1637377200,2021-11-20 03:00:00 +0000 UTC,14.44,13.77,11.45,14.72,1020,70,3.23,0.895706,37,scattered clouds,2021-11-20,3,0.0,0.297,0.0,None,3
1252,1637380800,2021-11-20 04:00:00 +0000 UTC,14.4,13.72,12.01,14.72,1020,70,3.14,0.895706,23,few clouds,2021-11-20,4,0.0,0.375,0.0,None,3
1253,1637384400,2021-11-20 05:00:00 +0000 UTC,14.24,13.6,12.01,14.72,1020,72,3.24,0.895706,18,few clouds,2021-11-20,5,0.0,0.304,0.0,None,3
